Protein ID,H1975_TGFb_Rep1_1,H1975_TGFb_Rep1_2,H1975_TGFb_Rep2_1,H1975_TGFb_Rep2_2,H1975_TGFb_Rep3_1,H1975_TGFb_Rep3_2,H1975_unst_Rep1_1,H1975_unst_Rep1_2,H1975_unst_Rep2_1,H1975_unst_Rep2_2,H1975_unst_Rep3_1,H1975_unst_Rep3_2,H838_TGFb_Rep1_1,H838_TGFb_Rep1_2,H838_TGFb_Rep2_1,H838_TGFb_Rep2_2,H838_TGFb_Rep3_1,H838_TGFb_Rep3_2,H838_unst_Rep1_1,H838_unst_Rep1_2,H838_unst_Rep2_1,H838_unst_Rep2_2,H838_unst_Rep3_1,H838_unst_Rep3_2
P19012,22380800000.0,18662121500.0,18422411300.0,19565596700.0,21171988500.0,19637538800.0,30825461800.0,35347026000.0,20837617700.0,22974175200.0,20154599400.0,15629620200.0,5206232600.0,4730806300.0,6761790000.0,7608344600.0,6473089500.0,8078449200.0,4437544400.0,4134354690.0,5027050000.0,5189463600.0,5304368600.0,5338421200.0
Q7Z794,14869864400.0,13884188700.0,20214726700.0,26538594300.0,14275345400.0,14619016200.0,11031023600.0,20486514700.0,17045700600.0,13468255200.0,14976319500.0,14662165500.0,10182687700.0,9464883200.0,10724079600.0,10258514900.0,9027342300.0,8409015300.0,6491742700.0,6107451400.0,5209624600.0,5630177300.0,5533228500.0,6092146700.0
P30405,658096060.0,607352700.0,626866750.0,499353984.0,582981890.0,671196670.0,600222980.0,878776060.0,671620220.0,680921730.0,730752060.0,640241920.0,689416190.0,772720320.0,605224000.0,646881150.0,577426110.0,548208900.0,648217860.0,640145790.0,539455230.0,595313090.0,551201860.0,582798910.0
Q7Z3Y8,1950889090.0,1813523070.0,3421243390.0,3191684350.0,1497040130.0,1282672900.0,3893084160.0,4520112100.0,1867998210.0,1591401090.0,780599100.0,680523330.0,2169242110.0,1993795200.0,2751294210.0,3115917060.0,2006020100.0,1887377540.0,1333582720.0,1382855300.0,1209082750.0,1363649660.0,740749700.0,786308100.0
Q16352,6870506500.0,0.0,0.0,6490443300.0,0.0,6375108600.0,7340924400.0,0.0,0.0,0.0,6519870500.0,5553223200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q8N1N4,28951289900.0,27699103700.0,41386484000.0,34620346000.0,32771020800.0,31219163100.0,24084670500.0,20902285300.0,28116801500.0,27510360100.0,31596474400.0,28983384100.0,9471140900.0,8260781100.0,0.0,9964854300.0,9566867500.0,9507801100.0,0.0,5812523500.0,5250278900.0,5726138400.0,3630753540.0,0.0
Q9UJX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q3SY84,14756818900.0,11702586400.0,21157466100.0,23285934100.0,16603126800.0,15814085600.0,16210887700.0,11310946300.0,14097933300.0,15014616100.0,20270880800.0,0.0,4574808600.0,5350485500.0,6592313900.0,6108582400.0,5638881800.0,4749920800.0,0.0,2811113730.0,2069016450.0,2731558910.0,2117080190.0,0.0
Q9ULE0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P48668,14177522700.0,13207399400.0,20410622000.0,19096162300.0,14703716400.0,15115499500.0,55512818000.0,60855984000.0,12248228900.0,13265685500.0,15214754800.0,10269069300.0,11569954800.0,11401320400.0,20081299500.0,15262871600.0,10873879600.0,11195855900.0,11168921600.0,9618268200.0,7158686700.0,7935778800.0,5916633600.0,6497006600.0
P05787,27636711400.0,26995941400.0,28691552300.0,27742322700.0,27581427700.0,27430230000.0,29249951700.0,31653953500.0,30216609800.0,29813569500.0,32327782400.0,31431712800.0,7883428900.0,7674148400.0,7111057900.0,7484178400.0,7718570500.0,7976875500.0,6683623900.0,6729762300.0,6653742600.0,7305129500.0,6527053300.0,6776768000.0
Q7Z3J3,245478736.0,270793664.0,259898448.0,246702736.0,254408720.0,261052928.0,191542208.0,217599264.0,240111600.0,266818976.0,239498192.0,225242672.0,290021184.0,307598976.0,289321888.0,297146048.0,289539616.0,281471968.0,248139712.0,278168352.0,250655040.0,262190112.0,256267104.0,263116080.0
P49792,476321408.0,492295456.0,472821792.0,480968832.0,473407264.0,493507104.0,413435232.0,436119680.0,486413920.0,486458592.0,479035744.0,451084896.0,581457280.0,533978496.0,544565570.0,546556740.0,596731460.0,556348220.0,501042336.0,497249184.0,471231296.0,520367264.0,497102624.0,538544700.0
P08670,18752720900.0,18569461800.0,17473296400.0,16863416300.0,18100848600.0,18049253400.0,16553568300.0,15059842000.0,15249815600.0,15507617800.0,16520052700.0,15541505000.0,27152187400.0,25043341300.0,24463181800.0,25870073900.0,26459125800.0,26756907000.0,21472927700.0,20551485400.0,22518179800.0,24638531600.0,22648680400.0,23021885400.0
P05783,24444018700.0,23550017500.0,23866601500.0,22960476200.0,23306977300.0,23384768500.0,30035267600.0,28795758600.0,23662657500.0,25179140100.0,26895317000.0,26467850200.0,5551038500.0,5127677400.0,5209119700.0,5471322600.0,5699117100.0,5661132300.0,5466132000.0,5058980900.0,5576611300.0,6174065200.0,5336411600.0,5603836400.0
